tick   t(s)   rung          clip              stance    speed  tgt   supp  reason
399     19.95 Locomotion    Run               Standing    3.0    2      0 moves at 3.0 m/s: Run
407     20.35 Trench        JumpDown          Standing    3.0    2      0 dropping into the trench at a run: lands
408     20.40 Locomotion    CrouchRun         Crouch      2.8    2      0 moves at 2.8 m/s: CrouchRun
437     21.85 StanceChange  StandToKneel      FireStep    0.1    2      0 stance Standing -> Crouch: down behind the parapet
456     22.80 Idle          KneelAimedIdle    FireStep    0.1   14      0 idle: KneelAimedIdle
463     23.15 Locomotion    StoopWalk         FireStep    0.2   14      0 moves at 0.2 m/s: StoopWalk
464     23.20 StanceChange  StandToKneel      FireStep    0.1   14      0 stance Standing -> Crouch: down behind the parapet
465     23.25 Fire          FireKneel         FireStep    0.1   14      0 fires at 14
486     24.30 Action        BoltKneel         FireStep    0.0   14      0 works the bolt
502     25.10 Idle          KneelAimedIdle    FireStep    0.0   14      0 idle: KneelAimedIdle
533     26.65 Reaction      KneelFlinch       Crouch      0.0   -1      5 near miss, standing still: ducks
545     27.25 Idle          KneelAimedIdle    FireStep    0.0    4     16 idle: KneelAimedIdle
561     28.05 Reaction      KneelFlinch       FireStep    0.0    4     32 near miss, standing still: ducks
572     28.60 Idle          KneelAimedIdle    FireStep    0.0    4     38 idle: KneelAimedIdle
574     28.70 Idle          Shield            Crouch      0.0   -1     43 under fire: arm over the face, head down
609     30.45 Fire          FireKneel         FireStep    0.0    4     39 fires at 4
611     30.55 Reaction      KneelFlinch       FireStep    0.0    4     49 near miss, standing still: ducks
622     31.10 Action        ReloadKneel       Crouch      0.0   -1     45 magazine empty: reloads
638     31.90 Reaction      KneelFlinch       FireStep    0.0    4     49 near miss, standing still: ducks
650     32.50 Idle          Shield            Crouch      0.0   -1     45 under fire: arm over the face, head down
690     34.50 Fire          FireKneel         FireStep    0.1    4     39 fires at 4
692     34.60 Reaction      KneelFlinch       FireStep    0.1    4     49 near miss, standing still: ducks
704     35.20 Idle          Shield            Crouch      0.1   -1     45 under fire: arm over the face, head down
771     38.55 Fire          FireKneel         FireStep    0.1   27     39 fires at 27
773     38.65 Reaction      KneelFlinch       FireStep    0.1   27     49 near miss, standing still: ducks
784     39.20 Idle          Shield            Crouch      0.0   -1     45 under fire: arm over the face, head down
852     42.60 Fire          FireKneel         FireStep    0.0   13     29 fires at 13
854     42.70 Reaction      KneelFlinch       FireStep    0.0   13     39 near miss, standing still: ducks
866     43.30 Idle          Shield            Crouch      0.0   -1     45 under fire: arm over the face, head down
933     46.65 Fire          FireKneel         FireStep    0.0   13     39 fires at 13
935     46.75 Reaction      KneelFlinch       FireStep    0.0   13     49 near miss, standing still: ducks
947     47.35 Idle          Shield            Crouch      0.0   -1     45 under fire: arm over the face, head down
1014    50.70 Fire          FireKneel         FireStep    0.0   13     39 fires at 13
1016    50.80 Reaction      KneelFlinch       FireStep    0.0   13     53 hit, from the front
1027    51.35 Action        ReloadKneel       Crouch      0.0   -1     49 magazine empty: reloads
1052    52.60 Reaction      KneelFlinch       FireStep    0.0   13     53 hit, from the front
1063    53.15 Idle          Shield            Crouch      0.0   -1     49 under fire: arm over the face, head down
1086    54.30 Fire          FireKneel         FireStep    0.0   13     39 fires at 13
1088    54.40 Reaction      KneelFlinch       FireStep    0.0   13     49 near miss, standing still: ducks
1099    54.95 Idle          Shield            Crouch      0.0   -1     45 under fire: arm over the face, head down
1189    59.45 Idle          KneelAimedIdle    Crouch      0.0   -1     20 idle: KneelAimedIdle
1196    59.80 Action        KneelAimDown      Crouch      0.0   -1     17 target lost 4 s: rifle down
1217    60.85 Idle          KneelIdle         Crouch      0.0   -1      9 idle: KneelIdle
1317    65.85 Idle          StoopIdle         Crouch      0.0   -1      0 idle 5 s: shifts to a squat
1459    72.95 Idle          KneelIdle         Crouch      0.0   -1      0 idle: KneelIdle
1882    94.10 Idle          StoopIdle         Crouch      0.0   -1      0 idle 21 s: shifts to a squat
1990    99.50 Idle          KneelIdle         Crouch      0.0   -1      0 idle: KneelIdle
2159   107.95 Idle          FidgetRubEyes     Crouch      0.0   -1      0 idle 8 s: rubs his eyes
2196   109.80 Idle          KneelIdle         Crouch      0.0   -1      0 idle: KneelIdle
2638   131.90 Idle          FidgetRubEyes     Crouch      0.0   -1      0 idle 22 s: rubs his eyes
2646   132.30 Fire          FireKneel         FireStep    0.0    3      0 fires at 3
2648   132.40 Reaction      KneelFlinch       FireStep    0.0    3     10 near miss, standing still: ducks
2660   133.00 Idle          KneelAimedIdle    FireStep    0.0   19     38 idle: KneelAimedIdle
2665   133.25 Idle          Shield            Crouch      0.0   -1     47 under fire: arm over the face, head down
2714   135.70 Fire          FireKneel         FireStep    0.0    3     49 fires at 3
2735   136.75 Action        BoltKneel         Crouch      0.0   -1     40 works the bolt
2741   137.05 Reaction      KneelFlinch       FireStep    0.0    3     49 near miss, standing still: ducks
2753   137.65 Idle          Shield            Crouch      0.0   -1     44 under fire: arm over the face, head down
2793   139.65 Fire          FireKneel         Crouch      0.0   -1     39 fires at 29
